position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1930,Extreme-G 2,PC,Acclaim Entertainment  ,Probe Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Apr 99  ,N/A
1931,F-1 Circus CD,SCD,Nichibutsu  ,Nichibutsu  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Mar 94  ,N/A
1932,F-1 Dream,PCE,NEC Avenue  ,NEC Avenue  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 89  ,N/A
1933,F-1 GP,3DO,Pony Canyon  ,Pony Canyon  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 95  ,N/A
1934,F-1 Pilot,PCE,Pack-In-Video  ,Pack-In-Video  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Mar 89  ,N/A
1935,F-Zero,VC,Nintendo  ,Nintendo EAD  ,N/A  ,7.8  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,N/A
1936,F-Zero X,iQue,Unknown  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1937,F-Zero X,VC,Nintendo  ,Nintendo EAD  ,N/A  ,6.8  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 07  ,N/A
1938,F-Zero: Climax,GBA,Nintendo  ,Suzak  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Oct 04  ,N/A
1939,F1,MS,Domark Software  ,Teque Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
1940,F1 2000,PC,EA Sports  ,Visual Sciences  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Mar 00  ,N/A
1941,F1 2001,PC,EA Sports  ,Electronic Arts UK  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Oct 01  ,N/A
1942,F1 2002,XB,EA Sports  ,Visual Sciences Ltd.  ,N/A  ,7.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Apr 02  ,N/A
1943,F1 2009,X360,Unknown  ,Sumo Digital  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1944,F1 2009,PS3,Codemasters  ,Sumo Digital  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Nov 09  ,N/A
1945,F1 2009,PSN,Codemasters  ,Sumo Digital  ,N/A  ,7.4  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Dec 09  ,N/A
