position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
840,Star Trek: Tactical Assault,PSP,Bethesda Softworks  ,"Quicksilver Software, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,0.00m,N/A,0.00m,14th Nov 06  ,N/A
841,World of Tanks,X360,Wargaming.net  ,Wargaming West  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.03m,N/A,0.00m,12th Feb 14  ,27th Apr 19
842,Nobunaga no Yabou DS 2,DS,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,31st Jul 08  ,N/A
843,Shin Megami Tensei: Devil Survivor Overclocked,3DS,Atlus  ,Career Soft  ,8.8  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,23rd Aug 11  ,30th Apr 19
844,Blackguards 2,PS4,Kalypso Media  ,Daedalic Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.01m,12th Sep 17  ,15th Sep 18
845,Warhammer: Mark of Chaos,PC,Namco Bandai  ,Black Hole Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.02m,N/A,0.00m,14th Nov 06  ,N/A
846,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,27th Apr 07  ,N/A
847,Dynasty Warriors: Godseekers,PSV,Tecmo Koei  ,Omega Force  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,31st Jan 17  ,31st Dec 17
848,Cossacks: European Wars,PC,Strategy First  ,GSC Game World  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.02m,N/A,0.00m,14th Apr 01  ,N/A
849,The Settlers II 10th Anniversary,PC,Ubisoft  ,Blue Byte  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.02m,N/A,0.00m,22nd Sep 06  ,N/A
850,Sengoku Efuda Yuugi: Hototogisu Tairan,PSP,Irem Software Engineering  ,Irem Software Engineering  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,N/A,0.03m,N/A,09th Sep 10  ,N/A
851,The Legend of Korra A New Era Begins,3DS,Activision  ,Webfoot Technologies  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.02m,N/A,N/A,0.00m,28th Oct 14  ,01st May 19
852,Age of Empires III: Gold Edition,PC,Microsoft Game Studios  ,Ensemble Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.02m,N/A,0.00m,23rd Oct 07  ,N/A
853,God Wars The Complete Legend,NS,NIS America  ,Kadokawa Games  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.01m,N/A,0.01m,0.00m,04th Sep 18  ,17th Mar 19
854,RollerCoaster Tycoon 2: Triple Thrill Pack,PC,Atari  ,Frontier Developments  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.02m,N/A,0.00m,01st Aug 03  ,N/A
855,Star Wars: Empire at War - Forces of Corruption,PC,LucasArts  ,Petroglyph Games  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,N/A,0.02m,N/A,0.00m,24th Oct 06  ,N/A
856,Tank Beat,DS,O~3 Entertainment  ,MileStone Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.03m,0.01m,0.01m,N/A,0.00m,01st Jun 07  ,N/A
857,Dynasty Warriors: Eiketsuden,PS3,Tecmo Koei  ,Omega Force  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,03rd Aug 16  ,24th Apr 18
858,Battlestations: Pacific,PC,Eidos Interactive  ,Eidos Studios Hungary  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,12th May 09  ,N/A
859,ParaWorld,PC,Aspyr  ,SEK Ost  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,27th Sep 06  ,N/A
860,Worms: WMD,XOne,Team17 Digital Ltd  ,Team17 Digital Ltd  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,23rd Aug 16  ,12th Aug 18
861,Carnage Heart EXA,PSP,ArtDink  ,ArtDink  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,19th Mar 13  ,N/A
862,Sheep,PS,Empire Interactive  ,Minds-Eye  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.01m,0.01m,N/A,0.00m,06th Nov 00  ,N/A
