position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1348,Desktop Dungeons,PC,QCF Design  ,QCF Design  ,N/A  ,8.5  ,N/A  ,0.12m,N/A,N/A,N/A,N/A,N/A,07th Nov 13  ,17th Apr 19
1349,- Arcane Raise -,PC,WAX Publishing  ,Arcane Raise  ,N/A  ,N/A  ,N/A  ,0.12m,N/A,N/A,N/A,N/A,N/A,10th Mar 17  ,17th Apr 19
1350,Daikaijyuu Monogatari II,SNES,Hudson Soft  ,Birthday  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,0.00m,02nd Aug 96  ,N/A
1351,Portal Knights,PS4,505 Games  ,Keen Games  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.02m,0.05m,0.03m,0.01m,23rd May 17  ,03rd Jul 18
1352,Medarot DS: Kabuto / Kuwagata Ver.,DS,Rocket Company  ,Rocket Company  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,27th May 10  ,N/A
1353,Vampyr,XOne,Focus Home Interactive  ,DONTNOD Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.07m,0.04m,N/A,0.01m,05th Jun 18  ,08th Feb 18
1354,Tokyo New World Record: Operation Abyss,PSV,NIS America  ,Experience Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.04m,0.01m,0.06m,0.01m,09th Jun 15  ,15th Nov 18
1355,Lunar: Dragon Song,DS,Ubisoft  ,Game Arts / Japan Art Media (JAM)  ,6.1  ,5.9  ,N/A  ,N/A,0.12m,0.11m,0.00m,N/A,0.01m,27th Sep 05  ,N/A
1356,Pokémon Crystal Version,3DS,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,0.11m,N/A,0.01m,26th Jan 18  ,03rd Aug 18
1357,Avadon: The Black Fortress,PC,Spiderweb Software   ,Spiderweb Software  ,N/A  ,N/A  ,N/A  ,0.12m,N/A,N/A,N/A,N/A,N/A,02nd May 11  ,17th Apr 19
1358,Atelier Annie: Alchemists of Sera Island,DS,NIS America  ,Gust  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.08m,N/A,0.03m,0.01m,27th Oct 09  ,N/A
1359,Atelier Ayesha: The Alchemist of Dusk,PS3,Tecmo Koei  ,Gust  ,7.6  ,N/A  ,N/A  ,0.12m,N/A,N/A,N/A,N/A,N/A,05th Mar 13  ,02nd Jan 18
1360,Blue Reflection: Second Light,All,Koei Tecmo  ,Gust  ,N/A  ,N/A  ,N/A  ,0.12m,N/A,N/A,N/A,N/A,N/A,09th Nov 21  ,28th Feb 22
1361,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,Atlus  ,Aqua Plus  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.03m,0.02m,0.05m,0.02m,18th Aug 15  ,N/A
1362,Ultima III: Exodus,All,Origin Systems  ,Origin Systems  ,N/A  ,N/A  ,N/A  ,0.12m,N/A,N/A,N/A,N/A,N/A,23rd Aug 83  ,15th Mar 21
1363,The Snack World: Trejarers Gold,NS,Level 5  ,Level 5  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,14th Feb 20  ,09th Dec 19
1364,Fate/Extra CCC,PSP,Marvelous Entertainment  ,Marvelous / Imageepoch  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,28th Mar 13  ,15th Nov 18
1365,Call of Cthulhu,PS4,Focus Home Interactive  ,Cyanide  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.07m,0.03m,N/A,0.02m,30th Oct 18  ,23rd Mar 19
1366,Slayers,SNES,Banpresto  ,Bec  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,24th Jun 94  ,N/A
1367,Medarot 4: Kabuto / Kuwagata Version,GB,Imagineer  ,Natsume  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,23rd Mar 01  ,N/A
1368,God Eater 2: Rage Burst,PS4,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,0.01m,0.11m,0.00m,26th Feb 15  ,04th Jul 18
1369,Lost Magic,DS,Ubisoft  ,Taito Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.09m,0.00m,0.02m,0.01m,25th Apr 06  ,N/A
1370,Phantasy Star Universe,X360,Sega  ,Sonic Team  ,N/A  ,6.6  ,N/A  ,N/A,0.12m,0.09m,0.01m,N/A,0.01m,25th Oct 06  ,N/A
