position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
822,Fairy Tail: Zelef Kakusei,PSP,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,N/A,N/A,0.07m,N/A,22nd Mar 12  ,28th Dec 18
823,Tom and Jerry in War of the Whiskers,GC,NewKidCo  ,VIS Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.05m,0.01m,N/A,0.00m,04th Jan 03  ,N/A
824,Digimon All-Star Rumble,X360,Namco Bandai Games  ,PROPE  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.05m,0.01m,N/A,0.01m,11th Nov 14  ,N/A
825,Samurai Shodown,NG,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,N/A,N/A,0.07m,N/A,11th Aug 93  ,N/A
826,Fighter Maker 2,PS2,Agetec  ,Enterbrain  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.03m,0.03m,N/A,0.01m,12th Nov 02  ,N/A
827,Street Fighter 30th Anniversary Collection,XOne,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.05m,0.01m,N/A,0.01m,29th May 18  ,07th Nov 18
828,Dragon Ball Z: Battle of Z,X360,Namco Bandai Games  ,ArtDink  ,6.2  ,N/A  ,N/A  ,N/A,0.07m,0.01m,0.05m,0.00m,0.00m,28th Jan 14  ,18th Oct 18
829,Ultimate Marvel vs. Capcom 3,X360,Capcom  ,Capcom  ,N/A  ,8.3  ,N/A  ,N/A,0.07m,N/A,0.03m,0.04m,0.00m,15th Nov 11  ,N/A
830,Legends of Wrestling II,GBA,Acclaim Entertainment  ,Powerhead Games  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.05m,0.02m,N/A,0.00m,25th Nov 02  ,N/A
831,Fatal Fury: Battle Archives Volume 2,PS2,SNK Playmore  ,SNK Playmore Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.03m,0.03m,N/A,0.01m,08th Apr 08  ,N/A
832,Street Fighter V,PC,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.00m,0.06m,N/A,0.00m,16th Feb 16  ,N/A
833,BlazBlue: Cross Tag Battle,NS,Arc System Works  ,Arc System Works  ,N/A  ,8.0  ,N/A  ,N/A,0.07m,0.04m,0.01m,0.01m,0.01m,05th Jun 18  ,06th Jun 18
834,Destrega,PS,KOEI  ,Omega Force  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.04m,0.03m,N/A,0.00m,31st Jan 99  ,N/A
835,The King of Fighters 02/03,PS2,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.03m,0.03m,N/A,0.01m,08th Feb 05  ,N/A
836,Steambot Chronicles: Battle Tournament,PSP,Atlus  ,Irem Software Engineering  ,N/A  ,N/A  ,N/A  ,N/A,0.07m,0.05m,N/A,0.01m,0.01m,30th Jun 09  ,N/A
837,Tournament of Legends,Wii,Sega  ,High Voltage Software  ,5.2  ,N/A  ,N/A  ,N/A,0.07m,0.04m,0.02m,N/A,0.01m,06th Jul 10  ,N/A
838,Zatch Bell! Mamodo Battles,GC,Bandai  ,Eighting  ,N/A  ,7.0  ,N/A  ,N/A,0.06m,0.05m,0.01m,N/A,0.00m,19th Oct 05  ,N/A
839,Bleach: Versus Crusade,Wii,Sega  ,"Treasure Co., Ltd.  ",N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,18th Dec 08  ,27th Nov 18
840,Kamen Rider: Dragon Knight,Wii,D3 Publisher  ,Eighting  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.06m,N/A,N/A,0.00m,17th Nov 09  ,N/A
841,Naruto: Ultimate Ninja Heroes (JP sales),PSP,Namco Bandai  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,28th Aug 07  ,N/A
842,Legend of the Dragon,Wii,Game Factory  ,Neko Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.06m,0.00m,N/A,0.00m,01st May 07  ,N/A
843,Dissidia: Final Fantasy Universal Tuning,PSP,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,01st Nov 09  ,N/A
844,Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,Namco Bandai  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,10th Mar 11  ,N/A
845,Showtime Championship Boxing,Wii,DSI Games  ,Nikitova Games  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.06m,0.00m,N/A,0.00m,13th Dec 07  ,N/A
846,Guilty Gear XX Accent Core Plus,PS2,Aksys Games  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.03m,0.02m,N/A,0.01m,07th Apr 09  ,N/A
847,Shonen Jump's One Piece: Grand Battle,GC,Namco Bandai  ,Ganbarion  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.05m,0.01m,N/A,0.00m,07th Sep 05  ,N/A
848,Naruto Shippuden: Gekitou Ninja Taisen Special,Wii,Takara Tomy   ,Eighting  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,02nd Dec 10  ,N/A
849,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu,PS3,Sega  ,Sammy Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,31st May 12  ,03rd Jan 19
850,Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,PSP,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,30th Aug 12  ,03rd Jan 19
851,Marvel Super Heroes,SAT,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,0.00m,29th Sep 97  ,N/A
852,Showtime Championship Boxing,DS,DSI Games  ,Nikitova Games  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.06m,N/A,N/A,0.00m,10th Nov 07  ,N/A
853,Guilty Gear X: Advance Edition,GBA,Sammy Corporation  ,Arc System Works  ,N/A  ,7.3  ,N/A  ,N/A,0.06m,0.04m,0.02m,N/A,0.00m,29th Aug 02  ,N/A
854,Fate/Tiger Colosseum Upper,PSP,Capcom  ,Cavia Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,28th Aug 08  ,N/A
855,Melty Blood: Actress Again,PS2,Ecole  ,Ecole Software  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,20th Aug 09  ,N/A
856,Kamen Rider: Super Climax Heroes,PSP,Namco Bandai Games  ,Eighting  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,29th Nov 12  ,02nd Dec 18
857,All Kamen Rider: Rider Generation 2,PSP,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,02nd Aug 12  ,23rd Nov 18
858,Killing Zone,PS,Acclaim Entertainment  ,Naxat Soft  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.03m,0.02m,N/A,0.00m,01st Jul 96  ,N/A
859,Hajime no Ippo Portable: Victorious Spirits,PSP,Grand Prix Games  ,ESP Software  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,20th Dec 07  ,N/A
860,Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,Takara Tomy   ,Takara Tomy  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,28th Jun 07  ,N/A
861,Real Bout Garou Densetsu Special: Dominated Mind,PS,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.05m,0.00m,25th Jun 98  ,N/A
862,Samurai Shodown Anthology,Wii,SNK Playmore  ,SNK Playmore Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.05m,N/A,0.00m,0.00m,14th Apr 09  ,N/A
863,Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,0.00m,01st Dec 93  ,N/A
864,Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,DS,Takara Tomy   ,Takara Tomy  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,23rd Jul 09  ,N/A
865,Bleach: Blade Battlers 2nd,PS2,Sony Computer Entertainment  ,Racjin  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,N/A,27th Sep 07  ,N/A
866,Zero Divide,PS,Time Warner Interactive  ,Zoom Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.03m,0.02m,N/A,0.00m,24th Aug 95  ,N/A
867,The King of Fighters '96,NG,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,N/A,N/A,0.06m,0.00m,27th Sep 96  ,N/A
868,WWF Wrestlemania: The Arcade Game,PS,Acclaim Entertainment  ,Sculptured Software  ,N/A  ,N/A  ,N/A  ,N/A,0.06m,0.03m,0.02m,N/A,0.00m,18th Oct 95  ,N/A
869,Kamen Rider: Climax Heroes Fourze,PSP,Bandai  ,Eighting  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,N/A,N/A,0.05m,N/A,01st Dec 11  ,N/A
870,Bleach: Blade Battlers,PS2,Sony Computer Entertainment  ,Racjin  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,N/A,N/A,0.05m,N/A,12th Oct 06  ,N/A
871,Samurai Deeper Kyo,PS,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,N/A,N/A,0.05m,0.00m,12th Dec 02  ,N/A
872,Fatal Fury: Wild Ambition,PS,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,0.03m,0.02m,N/A,0.00m,11th Dec 99  ,N/A
873,Lucha Libre AAA: Heroes del Ring,X360,Konami  ,Immersion Software & Graphics  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,0.05m,N/A,N/A,0.00m,12th Oct 10  ,N/A
874,Fate/Unlimited Codes Portable,PSP,Capcom  ,Eighting  ,N/A  ,7.6  ,N/A  ,N/A,0.05m,N/A,N/A,0.05m,N/A,18th Jun 09  ,N/A
875,Mortal Kombat X,PC,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,0.01m,0.04m,N/A,0.00m,14th Apr 15  ,04th Jan 18
876,Kamen Rider: Dragon Knight,DS,D3 Publisher  ,Natsume  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,0.05m,0.00m,N/A,0.00m,17th Nov 09  ,N/A
877,Nitroplus Blasterz: Heroines Infinite Duel,PS4,Xseed Games  ,Examu Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,0.01m,0.01m,0.03m,0.00m,02nd Feb 16  ,N/A
878,TNA iMPACT: Cross the Line,PSP,SouthPeak Interactive  ,Point of View  ,N/A  ,3.5  ,N/A  ,N/A,0.05m,0.05m,0.00m,N/A,0.00m,22nd Jun 10  ,N/A
879,TV Anime: Fairy Tale Gekitou! Madoushi Kessen,DS,Hudson Soft  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,N/A,N/A,0.05m,N/A,22nd Jul 10  ,N/A
880,Saint Seiya: Soldiers' Soul,PS3,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,N/A,N/A,0.05m,N/A,06th Oct 15  ,N/A
881,Sengoku Basara X,PS2,Capcom  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,N/A,0.05m,N/A,N/A,0.05m,N/A,26th Jun 08  ,N/A
