position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
93,Rugrats in Paris: The Movie,PS,THQ  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,3.52m,1.96m,1.33m,N/A,0.23m,29th Oct 00  ,N/A
94,Kung Fu,NES,Nintendo  ,Irem Software Engineering  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,01st Oct 85  ,N/A
95,Nioh,All,Koei Tecmo  ,Team Ninja  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,09th Feb 17  ,17th Oct 20
96,Resident Evil 3: Nemesis,PS,Capcom  ,Capcom  ,N/A  ,9.4  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,11th Nov 99  ,N/A
97,Dying Light,PC,Warner Bros. Interactive Entertainment  ,Techland  ,N/A  ,N/A  ,N/A  ,3.47m,N/A,N/A,N/A,N/A,N/A,06th Feb 16  ,04th May 18
98,Grand Theft Auto 2,PS,Rockstar Games  ,DMA Design  ,N/A  ,6.9  ,N/A  ,N/A,3.42m,1.13m,2.07m,N/A,0.22m,25th Oct 99  ,N/A
99,Spider-Man 2,PS2,Activision  ,Treyarch  ,N/A  ,7.9  ,N/A  ,N/A,3.41m,1.75m,1.20m,0.02m,0.43m,28th Jun 04  ,N/A
100,Watch Dogs 2,PS4,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,3.36m,0.98m,1.74m,0.12m,0.52m,15th Nov 16  ,N/A
101,Luigi's Mansion,GC,Nintendo  ,Nintendo EAD  ,N/A  ,7.9  ,N/A  ,3.33m,N/A,N/A,N/A,N/A,N/A,17th Nov 01  ,N/A
102,Star Wars Episode III: Revenge of the Sith,PS2,LucasArts  ,The Collective  ,N/A  ,N/A  ,N/A  ,N/A,3.32m,1.47m,1.39m,0.03m,0.43m,04th May 05  ,N/A
103,The Lord of the Rings: The Return of the King,PS2,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",N/A  ,8.4  ,N/A  ,N/A,3.28m,1.50m,1.28m,0.05m,0.46m,05th Nov 03  ,N/A
104,True Crime: Streets of LA,PS2,Activision  ,Luxoflux  ,N/A  ,N/A  ,N/A  ,N/A,3.27m,1.89m,1.05m,0.02m,0.31m,03rd Nov 03  ,N/A
105,God of War: Chains of Olympus,PSP,Sony Computer Entertainment  ,Ready at Dawn  ,7.9  ,8.9  ,9.5  ,3.26m,N/A,N/A,N/A,N/A,N/A,04th Mar 08  ,N/A
106,Dead Rising 3,XOne,Microsoft Studios  ,Capcom  ,7.9  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,24th Mar 18
107,Final Fight,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Dec 89  ,03rd Feb 20
108,Enter the Matrix,PS2,Atari  ,Shiny Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.18m,1.78m,1.12m,0.09m,0.19m,14th May 03  ,N/A
109,Spider-Man,PS,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.13m,1.70m,1.25m,0.02m,0.16m,30th Aug 00  ,N/A
110,Resident Evil 6,PS3,Capcom  ,Capcom  ,7.7  ,N/A  ,N/A  ,N/A,3.12m,0.88m,0.97m,0.88m,0.39m,02nd Oct 12  ,N/A
111,Dead Rising,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,08th Aug 06  ,10th Oct 20
112,Saints Row 2,X360,THQ  ,Volition Inc.  ,N/A  ,7.9  ,N/A  ,N/A,3.07m,1.98m,0.79m,0.02m,0.28m,14th Oct 08  ,02nd Apr 18
113,New Super Luigi U,WiiU,Nintendo  ,Nintendo  ,8.2  ,7.8  ,N/A  ,3.07m,N/A,N/A,N/A,N/A,N/A,25th Aug 13  ,24th Jan 18
114,Metal Gear Solid V: The Phantom Pain,PS4,Konami Digital Entertainment  ,Kojima Productions  ,N/A  ,N/A  ,N/A  ,N/A,3.04m,0.97m,1.15m,0.50m,0.42m,01st Sep 15  ,04th May 18
115,Tom Clancy's Splinter Cell,XB,Ubisoft  ,Ubisoft  ,N/A  ,9.3  ,9.1  ,N/A,3.02m,1.85m,1.04m,N/A,0.13m,17th Nov 02  ,N/A
116,Chivalry,Series,Torn Banner Studios  ,Torn Banner Studios  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,10th Sep 07  ,17th Aug 21
117,Dishonored,PC,Bethesda Softworks  ,Arkane Studios  ,9.1  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,16th Apr 13  ,01st Jan 18
118,God of War: Ascension,PS3,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,8.1  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,12th Mar 13  ,04th Apr 18
119,Warhammer: Vermintide,Series,Fatshark  ,Fatshark  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,23rd Oct 15  ,04th Mar 20
120,Hitman 2: Silent Assassin,PS2,Eidos Interactive  ,IO Interactive  ,N/A  ,N/A  ,N/A  ,N/A,2.96m,1.36m,1.15m,0.04m,0.41m,01st Oct 02  ,N/A
121,Warriors Orochi,Series,KOEI  ,Omega Force  ,N/A  ,N/A  ,N/A  ,2.93m,N/A,N/A,N/A,N/A,N/A,18th Sep 07  ,17th Oct 20
