position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2458,Crash Commando,PSN,Sony Computer Entertainment  ,EPOS Game Studios  ,N/A  ,7.8  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 08  ,N/A
2459,Creature Shock,PC,Virgin Interactive  ,Argonaut Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 94  ,N/A
2460,Creature Shock,3DO,Virgin Interactive  ,Argonaut Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Mar 96  ,N/A
2461,Creature Shock,PS,Data East  ,Argonaut Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Aug 96  ,N/A
2462,Creature Shock: Special Edition,SAT,Data East  ,Interactive Studios Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
2463,Creed Arena,XBL,Microsoft  ,reedake2  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 10  ,N/A
2464,Crescendo Symphony,XBL,Microsoft  ,nakfiv  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 09  ,N/A
2465,Crime Patrol,SCD,American Laser Games  ,"American Laser Games, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94  ,N/A
2466,Crime Patrol,3DO,American Laser Games  ,"American Laser Games, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
2467,Crime Patrol,PC,Digital Leisure Inc.  ,Digital Leisure Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Jan 02  ,N/A
2468,CrimeCraft,PC,Vogster Entertainment  ,Vogster Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 09  ,N/A
2469,Crimson Dragon,XOne,Microsoft Studios  ,Grounding Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,10th Aug 18
