position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2300,Pro Pinball Trilogy,DC,Empire Interactive  ,Cunning Developments Empire Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Jun 01  ,N/A
2301,Pro Pinball: Big Race USA,PC,Empire Interactive  ,Cunning Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Jan 99  ,N/A
2302,Pro Pinball: Fantastic Journey,PC,Empire Interactive  ,Cunning Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Dec 99  ,N/A
2303,Pro Pinball: The Web,PC,Interplay  ,Cunning Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 95  ,N/A
2304,Pro Pinball: Timeshock!,PC,Interplay  ,Cunning Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Mar 98  ,N/A
2305,Professional Lumberjack 2016,PS4,Namco Bandai Games  ,UIG Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Mar 15  ,18th Jun 18
2306,Professional Lumberjack 2016,PS3,Namco Bandai Games  ,UIG Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Mar 15  ,18th Jun 18
2307,Professional Lumberjack 2016,PC,Namco Bandai Games  ,UIG Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Mar 15  ,18th Jun 18
2308,Professional Lumberjack 2016,XOne,Namco Bandai Games  ,UIG Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Mar 15  ,18th Jun 18
2309,Project Runway,PC,Atari  ,Tornado Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Feb 10  ,N/A
2310,Puppy Luv: Spa and Resort,GBA,Activision  ,Humagade  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Sep 07  ,N/A
2311,QuickPick Farmer,DSiW,Unknown  ,Dancing Dots  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Jul 10  ,N/A
2312,R/C Helicopter,PC,Summitsoft Entertainment  ,Summitsoft Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Apr 02  ,N/A
2313,Radio Helicopter,PS2,505 Games  ,Tomcat System  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 04  ,N/A
2314,Radio Helicopter II,PS2,505 Games  ,Aqua Systems  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 06  ,N/A
2315,Rail Nation,PC,Travian Games GmbH   ,Travian Games GmbH  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 13  ,N/A
2316,Rail Simulator 2: Railworks Platform,PC,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Jun 09  ,N/A
2317,Railfan: Taiwan Takatetsu,PS3,Ongakukan  ,Ongakukan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 07  ,N/A
2318,Railroad Pioneer,PC,Nordic Games  ,JoWooD Entertainment AG  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Oct 03  ,19th Jul 18
2319,Railroad X,PC,Koch Media  ,Soft Pro  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Jun 14  ,N/A
2320,RailWorks,PC,RailSimulator.com  ,RailSimulator.com  ,N/A  ,7.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Jun 09  ,N/A
2321,RailWorks Challenger,PC,RailSimulator.com  ,RailSimulator.com  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 09  ,N/A
2322,RC Helicopter: Remote Control Simulation,PS,Agetec  ,Tomcat System  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 03  ,N/A
2323,RC-AirSim,XBL,Microsoft  ,Some Call Me Tim  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Jan 09  ,N/A
2324,Reach for the Skies,PC,Virgin Interactive  ,Rowan Software Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
2325,Reach for the Stars,PC,Strategic Studies Group  ,Strategic Studies Group  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Sep 00  ,N/A
2326,Reach for the Stars (1986),PC,Strategic Studies Group  ,Strategic Studies Group  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 86  ,N/A
2327,Real Kanojo,PC,Illusion Soft  ,Illusion Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Feb 10  ,N/A
2328,RealFlight,PC,Hobbico  ,Knife Edge Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 07  ,N/A
2329,Rebel Raiders: Operation Nighthawk,PC,Kando Games  ,Kando Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 06  ,N/A
2330,Rebirth of Honor,PC,Tri Synergy  ,Tri Synergy  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 05  ,N/A
2331,RECYCLE,PC,Rondomedia  ,Rondomedia  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Sep 14  ,N/A
2332,Red Arrows,PC,Unknown  ,Database Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2333,Red Baron,PC,Sierra Entertainment  ,"Dynamix, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90  ,N/A
2334,Red Baron,PS2,Davilex  ,Atomic Planet Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Nov 05  ,N/A
2335,Red Baron 3D,PC,Sierra Entertainment  ,Dynamix  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 98  ,N/A
2336,Red Baron Arcade,PSN,Sierra Entertainment  ,Stainless Studios Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Mar 09  ,N/A
2337,Red Baron II,PC,Sierra Entertainment  ,Dynamix  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 97  ,N/A
2338,Red Baron Pack,PC,Dynamix  ,Dynamix  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 98  ,N/A
