position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
38,Guitar Hero: On Tour,DS,Activision  ,Vicarious Visions  ,N/A  ,7.1  ,8.1  ,N/A,3.46m,2.10m,1.01m,0.01m,0.35m,22nd Jun 08  ,N/A
39,Crash Bash,PS,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,N/A  ,6.8  ,N/A  ,N/A,3.39m,1.56m,1.47m,0.19m,0.17m,06th Nov 00  ,N/A
40,Big Brain Academy: Wii Degree,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.1  ,N/A  ,3.34m,N/A,N/A,N/A,N/A,N/A,11th Jun 07  ,N/A
41,Flash Focus: Vision Training in Minutes a Day,DS,Nintendo  ,Bandai Namco Games  ,N/A  ,6.1  ,N/A  ,3.23m,N/A,N/A,N/A,N/A,N/A,15th Oct 07  ,N/A
42,Personal Trainer: Cooking,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,24th Nov 08  ,N/A
43,The Sims: Livin Large,PC,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,2.99m,1.67m,1.18m,N/A,0.13m,27th Aug 00  ,N/A
44,Divinity: Original Sin,PC,Focus Home Interactive  ,Unknown  ,N/A  ,N/A  ,N/A  ,2.71m,N/A,N/A,N/A,N/A,N/A,27th Oct 15  ,N/A
45,Mario Party,N64,Nintendo  ,Hudson Soft  ,N/A  ,7.6  ,N/A  ,2.70m,N/A,N/A,N/A,N/A,N/A,08th Feb 99  ,N/A
46,Guitar Hero: World Tour,X360,Activision  ,Neversoft Entertainment  ,N/A  ,8.6  ,N/A  ,N/A,2.66m,1.78m,0.64m,N/A,0.25m,26th Oct 08  ,N/A
47,Skylanders Giants,Wii,Activision  ,Toys for Bob  ,N/A  ,N/A  ,N/A  ,N/A,2.58m,1.49m,0.86m,N/A,0.23m,21st Oct 12  ,16th Jan 18
48,Clubhouse Games,DS,Nintendo  ,Agenda  ,N/A  ,8.3  ,N/A  ,2.57m,N/A,N/A,N/A,N/A,N/A,09th Oct 06  ,N/A
49,Game Party,Wii,Midway Games  ,JGI Entertainment  ,N/A  ,2.6  ,N/A  ,N/A,2.49m,1.47m,0.77m,N/A,0.24m,27th Nov 07  ,N/A
50,Mario Party 2,N64,Nintendo  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,2.48m,N/A,N/A,N/A,N/A,N/A,24th Jan 00  ,N/A
51,Rock Band,X360,MTV Games  ,Harmonix Music Systems  ,9.1  ,9.1  ,N/A  ,N/A,2.47m,1.93m,0.33m,N/A,0.21m,20th Nov 07  ,N/A
52,Minecraft,PSV,Sony Computer Entertainment America  ,4J Studios  ,N/A  ,N/A  ,N/A  ,N/A,2.47m,0.22m,0.73m,1.25m,0.27m,11th Nov 14  ,05th Aug 18
53,Mario Party 4,GC,Nintendo  ,Hudson Soft  ,N/A  ,7.0  ,N/A  ,2.46m,N/A,N/A,N/A,N/A,N/A,21st Oct 02  ,N/A
54,uDraw Studio,Wii,THQ  ,"Pipeworks Software, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,2.44m,1.65m,0.58m,N/A,0.21m,14th Nov 10  ,N/A
55,Monopoly,PC,Hasbro Interactive  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,2.39m,1.49m,0.81m,N/A,0.10m,01st Jan 95  ,N/A
56,Yu-Gi-Oh! The Duelists of the Roses,PS2,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,2.38m,1.16m,0.91m,N/A,0.30m,16th Feb 03  ,N/A
57,Sonic's Ultimate Genesis Collection,PS3,Sega  ,Backbone Entertainment  ,N/A  ,8.1  ,N/A  ,N/A,2.36m,1.39m,0.64m,N/A,0.33m,10th Feb 09  ,N/A
58,Art Academy,DS,Nintendo  ,Headstrong Games  ,N/A  ,6.8  ,N/A  ,2.33m,N/A,N/A,N/A,N/A,N/A,25th Oct 10  ,N/A
59,Mario Paint,SNES,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,N/A  ,2.31m,N/A,N/A,N/A,N/A,N/A,05th May 92  ,N/A
60,Mario Party 10,WiiU,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,6.3  ,N/A  ,2.27m,N/A,N/A,N/A,N/A,N/A,20th Mar 15  ,24th Jan 18
61,Guitar Hero III: Legends of Rock,PS3,RedOctane  ,Neversoft  ,N/A  ,8.2  ,8.0  ,N/A,2.25m,1.40m,0.53m,0.02m,0.30m,28th Oct 07  ,N/A
62,Just Dance Kids,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,2.25m,1.52m,0.54m,N/A,0.19m,09th Nov 10  ,N/A
63,Guitar Hero II,X360,RedOctane  ,Harmonix Music Systems  ,N/A  ,9.2  ,N/A  ,N/A,2.21m,2.01m,0.02m,N/A,0.17m,03rd Apr 07  ,N/A
64,Rock Band 2,X360,MTV Games  ,Harmonix Music Systems  ,9.3  ,9.2  ,N/A  ,N/A,2.20m,1.78m,0.24m,N/A,0.18m,14th Sep 08  ,N/A
65,Kirby's Pinball Land,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,2.19m,N/A,N/A,N/A,N/A,N/A,28th Nov 93  ,N/A
66,Mario Party 5,GC,Nintendo  ,Hudson Soft  ,N/A  ,5.9  ,N/A  ,2.17m,N/A,N/A,N/A,N/A,N/A,10th Nov 03  ,N/A
67,PlayStation VR Worlds,PS4,Sony Interactive Entertainment  ,SIE London Studio  ,N/A  ,N/A  ,N/A  ,N/A,2.16m,0.36m,1.40m,0.09m,0.32m,13th Oct 16  ,06th Apr 18
68,Banished,PC,Falcom  ,Unknown  ,7.3  ,N/A  ,N/A  ,2.15m,N/A,N/A,N/A,N/A,N/A,01st Jan 14  ,N/A
69,Mahjong,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,2.14m,N/A,N/A,N/A,N/A,N/A,27th Aug 83  ,N/A
70,Rock Band,Wii,MTV Games  ,Harmonix Music Systems  ,N/A  ,8.2  ,N/A  ,N/A,2.08m,1.33m,0.56m,N/A,0.20m,22nd Jun 08  ,N/A
71,Mario Party 7,GC,Nintendo  ,Hudson Soft  ,N/A  ,6.0  ,N/A  ,2.08m,N/A,N/A,N/A,N/A,N/A,07th Nov 05  ,N/A
72,Wipeout: The Game,Wii,Activision  ,Endemol  ,N/A  ,N/A  ,N/A  ,N/A,2.08m,1.94m,N/A,N/A,0.14m,22nd Jun 10  ,N/A
73,Carnival Games,DS,2K Play  ,Cat Daddy Games  ,N/A  ,N/A  ,N/A  ,N/A,2.04m,1.22m,0.63m,N/A,0.19m,08th Jul 08  ,N/A
74,Rayman Raving Rabbids: TV Party,Wii,Ubisoft  ,Ubisoft Paris  ,7.9  ,7.1  ,N/A  ,N/A,2.03m,0.72m,1.08m,N/A,0.23m,18th Nov 08  ,N/A
75,Just Dance 3,X360,Ubisoft  ,Ubisoft Paris  ,N/A  ,5.5  ,N/A  ,N/A,2.02m,1.47m,0.39m,N/A,0.16m,07th Oct 11  ,N/A
76,Las Vegas Poker & Blackjack,Int,Mattel Electronics  ,APh Technological Consulting  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,25th Aug 80  ,13th Jan 18
77,Resident Evil 4,Wii,Capcom  ,Unknown  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,19th Jun 07  ,N/A
78,Surgeon Simulator,PC,Bossa Studios  ,Bossa Studios  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,19th Apr 13  ,02nd Feb 19
79,Destiny,X360,Activision  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,1.94m,1.32m,0.44m,N/A,0.19m,09th Sep 14  ,N/A
80,Guitar Hero: World Tour,PS3,Activision  ,Neversoft Entertainment  ,N/A  ,8.5  ,N/A  ,N/A,1.92m,1.10m,0.55m,N/A,0.27m,26th Oct 08  ,N/A
81,Mario Party 3,N64,Nintendo  ,Hudson Soft  ,N/A  ,7.0  ,N/A  ,1.91m,N/A,N/A,N/A,N/A,N/A,06th May 01  ,N/A
82,Monopoly,Wii,Electronic Arts  ,EA Bright Light  ,N/A  ,N/A  ,N/A  ,N/A,1.89m,0.86m,0.83m,0.00m,0.20m,20th Oct 08  ,N/A
83,Toy Story Mania!,Wii,Disney Interactive Studios  ,Papaya Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.89m,1.04m,0.66m,N/A,0.19m,15th Sep 09  ,N/A
