position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1097,Blow,XBL,Vector 2 Games  ,David Flook  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Nov 08  ,N/A
1098,Blow Me Up,XBL,Microsoft  ,Stegersaurus Games 2  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 11  ,N/A
1099,Blue Toad Murder Files: The Mysteries of Little Riddle,PSN,Relentless Software  ,Relentless Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 10  ,N/A
1100,Blue Toad Murder Files: The Mysteries of Little Riddle,PC,Relentless Software  ,Relentless Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 10  ,N/A
1101,Blue Toad Murder Files: The Mysteries of Little Riddle - Episode One,PSN,Relentless Software  ,Relentless Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Dec 09  ,N/A
1102,Boggle,PC,Hasbro Interactive  ,Hasbro Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 97  ,N/A
1103,Boggle Plus,GB,Parker Bros.  ,Sculptured Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 92  ,N/A
1104,Boingz,WW,RealArcade  ,NinjaBee  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Nov 08  ,N/A
1105,Bokura no Telebi Game Kentei,DS,Namco Bandai  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 08  ,N/A
1106,Bomb Disposal Expert,XBL,Microsoft  ,Evolution Dreams Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 09  ,N/A
1107,Bomberman,PCE,Turbo Technologies  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90  ,N/A
1108,Bomberman,NGage,Nokia  ,Hudson Soft  ,N/A  ,5.4  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Aug 04  ,N/A
1109,Bomberman '93,PCE,Interchannel  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
1110,Bomberman '93,VC,Turbo Technologies  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Nov 06  ,N/A
