position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
265,Remember Me,All,Capcom  ,DONTNOD Entertainment  ,N/A  ,N/A  ,N/A  ,1.30m,N/A,N/A,N/A,N/A,N/A,03rd Jun 13  ,12th Oct 20
266,The Last Guardian,PS4,Sony Interactive Entertainment  ,SIE Japan Studio  ,N/A  ,7.9  ,N/A  ,N/A,1.29m,0.40m,0.58m,0.13m,0.19m,06th Dec 16  ,04th Apr 18
267,Watch Dogs,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,1.29m,0.73m,0.44m,0.01m,0.11m,27th May 14  ,15th Mar 18
268,LEGO Batman 2: DC Super Heroes,PS3,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,8.4  ,N/A  ,N/A  ,N/A,1.23m,0.50m,0.54m,N/A,0.19m,26th Jun 12  ,15th Mar 18
269,Metal Gear Solid V: Ground Zeroes,PS4,Konami Digital Entertainment  ,Kojima Productions  ,7.8  ,7.6  ,N/A  ,N/A,1.20m,0.36m,0.50m,0.17m,0.17m,18th Mar 14  ,22nd Mar 18
270,Shadow of the Colossus,PS4,Sony Interactive Entertainment  ,Bluepoint Games  ,9.0  ,9.3  ,N/A  ,N/A,1.20m,0.44m,0.52m,0.05m,0.19m,06th Feb 18  ,26th Nov 18
271,Legend of Grimrock,Series,Almost Human  ,Almost Human Games  ,N/A  ,N/A  ,N/A  ,1.16m,N/A,N/A,N/A,N/A,N/A,11th Apr 12  ,16th Feb 21
272,The Legend of Zelda: Twilight Princess HD,WiiU,Nintendo  ,Tantalus Interactive  ,N/A  ,8.4  ,N/A  ,1.16m,N/A,N/A,N/A,N/A,N/A,04th Mar 16  ,20th Mar 18
273,Conan Exiles,PC,Maximum Games  ,Funcom Oslo A/S  ,N/A  ,N/A  ,N/A  ,1.14m,N/A,N/A,N/A,N/A,N/A,08th May 18  ,30th Mar 18
274,Fahrenheit,All,Atari  ,Quantic Dream  ,N/A  ,N/A  ,N/A  ,1.14m,N/A,N/A,N/A,N/A,N/A,20th Sep 05  ,08th Mar 21
275,Disney Infinity 2.0: Marvel Super Heroes,X360,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,1.11m,0.67m,0.34m,N/A,0.10m,23rd Sep 14  ,06th Feb 18
276,Mafia III,XOne,2K Games  ,Hangar 13  ,N/A  ,6.8  ,N/A  ,N/A,1.11m,0.54m,0.48m,N/A,0.09m,07th Oct 16  ,02nd Apr 18
277,Just Cause,All,Eidos Interactive  ,Avalanche Studios  ,N/A  ,N/A  ,N/A  ,1.10m,N/A,N/A,N/A,N/A,N/A,27th Sep 06  ,26th Oct 20
278,Ratchet & Clank: Rift Apart,PS5,Sony Interactive Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,1.10m,N/A,N/A,N/A,N/A,N/A,11th Jun 21  ,11th Jun 20
