position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
5493,Soccer Stars,And,Unknown  ,Miniclip  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,08th Jan 18
5494,Sonic At The Olympic Games - Tokyo 2020,iOS,Unknown  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,08th Apr 19
5495,Sonic At The Olympic Games - Tokyo 2020,And,Unknown  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,08th Apr 19
5496,Spike Volleyball,PS4,Bigben Interactive  ,Black Sheep Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Feb 19  ,17th Dec 18
5497,Spike Volleyball,PC,Bigben Interactive  ,Black Sheep Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Feb 19  ,17th Dec 18
5498,Spike Volleyball,XOne,Bigben Interactive  ,Black Sheep Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Feb 19  ,17th Dec 18
5499,Spiker! Super Pro Volleyball,Int,INTV Corporation  ,Realtime Associates  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 89  ,13th Jan 18
5500,Sports Story,NS,Sidebar Games  ,Sidebar Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20  ,19th Dec 19
5501,Steep,NS,Ubisoft  ,Ubisoft Annecy  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 18  ,17th Jan 18
5502,Stikbold! A Dodgeball Adventure DELUXE,NS,Unknown  ,Game Swing  ,N/A  ,N/A  ,8.0  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,07th Jan 18
5503,Super Action Baseball,CV,Unknown  ,Coleco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,18th Oct 21
5504,Super Action Football,CV,Unknown  ,Coleco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,18th Oct 21
5505,Super Blood Hockey,NS,Digerati  ,Loren Lemcke  ,6.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Apr 19  ,23rd Apr 19
5506,Super Blood Hockey,XOne,Digerati  ,Loren Lemcke  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jun 19  ,23rd Apr 19
5507,Super Blood Hockey,PS4,Digerati Distribution  ,Loren Lemcke  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Jun 19  ,23rd Apr 19
5508,Super Blood Hockey,PC,Loren Lemcke  ,Loren Lemcke  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Aug 17  ,23rd Apr 19
5509,Super Mega Baseball 3,PC,Metalhead Software Inc.  ,Metalhead Software Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th May 20  ,30th Apr 20
5510,Super Mega Baseball 3,PS4,Metalhead Software Inc.  ,Metalhead Software Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th May 20  ,30th Apr 20
5511,Super Mega Baseball 3,XOne,Metalhead Software Inc.  ,Metalhead Software Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th May 20  ,30th Apr 20
5512,Super Mega Baseball 3,NS,Metalhead Software Inc.  ,Metalhead Software Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th May 20  ,30th Apr 20
