position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
3746,Memories Off: Festa,WS,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Mar 01  ,N/A
3747,Memories Off: Omoide ni Kawaru-Kun,PC,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 04  ,N/A
3748,Memories Off: Omoide ni Kawaru-Kun,PS2,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Nov 02  ,N/A
3749,Memories Off: Omoide ni Kawaru-Kun,DC,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Nov 02  ,N/A
3750,Memories Off: Sorekara,PS2,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Jun 04  ,N/A
3751,Memories Off: Sorekara,PC,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Oct 04  ,N/A
3752,Memories Off: Sorekara Again,PSP,5pb  ,5pb. Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Sep 09  ,N/A
3753,Men in Black II: Crossfire,PC,Sony Computer Entertainment  ,WildTangent  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Jun 02  ,N/A
3754,Mercuria: Nizu no Miyako ni Koi o Hanataba o,PC,Unknown  ,Hearts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 10  ,N/A
3755,Mermaid no Kisetsu,PS,NetVillage  ,NetVillage  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Dec 01  ,N/A
3756,Mermaid no Kisetsu: Curtain Call,PS,NetVillage  ,NetVillage  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Aug 02  ,N/A
3757,Mermaid Prism,PS2,D3 Publisher  ,Vingt-et-un Systems  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Oct 06  ,N/A
3758,Messiah (Japan),PC,Orbit Soft  ,Orbit Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 06  ,N/A
3759,Messiah: Paranoia Paradox,PC,Orbit Soft  ,Orbit Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Aug 08  ,N/A
3760,Metal Fighter Star Miku,SAT,Victor Interactive  ,Victor Interactive Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 95  ,N/A
3761,Metal Gear,NES,Ultra Games  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 88  ,N/A
3762,Metal Gear,PC,Ultra Games  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Aug 90  ,N/A
3763,Metal Gear Solid Mobile,NGage,Konami  ,Ideaworks3D  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 08  ,N/A
3764,Metal Slader Glory,NES,HAL Laboratory  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Aug 91  ,N/A
3765,Metal Slader Glory,VC,HAL Laboratory  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 07  ,N/A
3766,Metal Slader Glory: Director's Cut,SNES,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Nov 00  ,N/A
3767,Metal Wolf,DC,Princess Soft  ,Princess Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 02  ,N/A
3768,Metal Wolf REV,PS2,Princess Soft  ,Princess Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Feb 06  ,N/A
